epoch,experiment,total_epochs,neurons,batch_size,lag,direct_features,nearby_counties,nearby_features,run,train_rmse,test_rmse
1,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,17.76189785,33.22278028
2,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,17.18906135,32.75603733
3,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,16.99828728,32.44314533
4,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,16.87088941,32.12055223
5,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,16.78881107,31.85658202
6,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,16.79725005,31.708289100000002
7,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,16.5789763,31.13660798
8,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,16.53610115,30.94657823
9,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,16.45365215,30.65906919
10,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,16.44572681,30.40326521
11,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,16.45697579,30.16011882
12,epochs_100_neurons_10_batchsize_1_lag_7_directfeatures_aqi_nearcounties_none_nearfeatures_none,100,10,1,7,aqi,none,none,0,16.42635483,29.7034983
